date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:21	5728/5728	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225728-1537453834000%22	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/dev/findmyusername-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js.xhtml?ln=js	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/dev/findmyusername-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js8490.js	(from https://my.navyfederal.org/NFOAA_Auth/findmyusername.xhtml)
17:57:22	16875/16875	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/validation/validatorUtil.js.xhtml?ln=openfaces&ofver=3.1.EA1.938	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/validation/validatorUtil.js7d01.js	(from https://my.navyfederal.org/NFOAA_Auth/findmyusername.xhtml)
17:57:23	923/923	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/validation/requiredValidator.js.xhtml?ln=openfaces&ofver=3.1.EA1.938	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/validation/requiredValidator.js7d01.js	(from https://my.navyfederal.org/NFOAA_Auth/findmyusername.xhtml)
17:57:23	0/0	---M--	302	error ('Moved%20Temporarily')	text/plain	date:Fri,%2011%20Jan%202019%2022:57:17%20GMT	https://my.navyfederal.org/NFOAA_Auth/login.xhtml	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/login.xhtml	(from https://my.navyfederal.org/NFOAA_Auth/findmyusername.xhtml)
17:57:24	38267/38267	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/default.css.xhtml?ln=openfaces&ofver=3.1.EA1.938	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/default.css7d01.css	(from https://my.navyfederal.org/NFOAA_Auth/resetpassword.xhtml)
17:57:25	28829/28829	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/jsf.js.xhtml?ln=javax.faces	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/jsf.js8be1.js	(from https://my.navyfederal.org/NFOAA_Auth/resetpassword.xhtml)
17:57:26	284/284	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/js/dist/captcha.min.js	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/js/dist/captcha.min.js	(from https://my.navyfederal.org/NFOAA_Auth/resetpassword.xhtml)
17:57:27	17170/17170	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/js/dev/passwordStrength-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/js/dev/passwordStrength-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js	(from https://my.navyfederal.org/NFOAA_Auth/resetpassword.xhtml)
17:57:28	15325/15325	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/js/dev/usernameStrength-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/js/dev/usernameStrength-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js	(from https://my.navyfederal.org/NFOAA_Auth/resetpassword.xhtml)
17:57:29	9400/9400	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/js/dev/app-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/js/dev/app-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js	(from https://my.navyfederal.org/NFOAA_Auth/resetpassword.xhtml)
